Word	Annotation	Sense	Part of Speech	Level
survey			n. A2, v. B2	A2, B2
centre			n. A1, v. B1	A1, B1
recently			adv.	A2
examination			n.	B2
chemical			adj., n.	B1
whereas			conj.	B2
suppose			v.	A2
ill			adj.	A2
nevertheless			adv.	B2
hardly			adv.	B1
everyone			pron.	A1
queen			n.	A2
urban			adj.	B2
exactly			adv.	A2
possibility			n.	A2
rock	(music)		n.	A2
rock	(stone)		n.	A2
represent			v.	B1
bottom			n., adj.	A2
largely			adv.	B2
apparently			adv.	B2
maintain			v.	B2
coast			n.	A2
attitude			n.	B1
van			n.	A2
station			n.	A1
equally			adv.	B1
opposite			adj., adv., prep., n.	A1
prince			n.	B1
evil			adj., n.	B2
plate			n.	A2
gain			v., n.	B2
comparison			n.	B1
edition			n.	B2
bit			n.	A2
spread			v. B1, n. B2	B1, B2
immediate			adj.	B1
path			n.	B1
message			n.	A1
net			n.	B1
check			v. A1, n. A2	A1, A2
connected			adj.	A2
pure			adj.	B2
break			v., n.	A1
environmental			adj.	B1
send			v.	A1
suggest			v.	A2
secondary			adj.	B1
reader			n.	A1
sight			n.	B1
anyone			pron.	A1
media			n.	A2
belief			n.	B1
concentration			n.	B2
dear			adj. A1, exclam. A2	A1, A2
opening			n.	B2
indicate			v.	B1
nine			number	A1
generation			n.	B1
team			n.	A1
farm			n. A1, v.A2	A1, A2
save			v.	A2
forest			n.	A2
doctor			n.	A1
advanced			adj.	B1
occasion			n.	B1
interested			adj.	A1
danger			n.	A2
broad			adj.	B2
insurance			n.	B2
broken			adj.	A2
identity			n.	B1
pleasure			n.	B1
agent			n.	B1
yourself			pron.	A1
aware			adj.	B1
medium			adj. B1, n. B2	B1, B2
youth			n.	B1
director			n.	A2
safety			n.	B1
arm			n.	A1
writer			n.	A1
alternative			n. A2, adj. B1	A2, B1
sleep			v. A1, n. A2	A1, A2
struggle			v., n.	B2
obvious			adj.	B1
fresh			adj.	A2
fit			v., adj.	A2
drug			n.	A2
sum			n., v.	B2
drive			v. A1, n. A2	A1, A2
finding			n.	B2
previously			adv.	B1
carefully			adv.	A2
selection			n.	B2
expect			v.	A2
leader			n.	A2
parliament			n.	B2
park			n., v.	A1
trouble			n. A2, v. B2	A2, B2
slowly			adv.	A2
valley			n.	A2
fast			adj., adv.	A1
typical			adj.	A2
rural			adj.	B2
election			n.	B1
closely			adv.	B2
estate			n.	B2
characteristic			n., adj.	B2
formal			adj.	A2
metal			n.	A2
pointed			adj.	B2
guide			n., v.	A2
steel			n.	B2
express			v.	A2
agency			n.	B2
wild			adj.	A2
vision			n.	B2
opposition			n.	B2
slightly			adv.	B1
secret			adj., n.	A2
silver			n., adj.	A2
straight			adv., adj.	A2
choose			v.	A1
fundamental			adj.	B2
beauty			n.	B1
location			n.	B1
